" Code","Sampling Date",State,City/Town/Village/Area,"Location of Monitoring Station",Agency,"Type of Location",SO2,NO2,RSPM/PM10,"PM 2.5"
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",12.8,55.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.8,38.1,NA,NA
NA,2011-09-02T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,36,166,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",33.6,70.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.2,30.4,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",8.9,60.9,NA,NA
NA,2003-05-02T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,42,155,NA
NA,1987-01-10T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,27.3,13.2,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",52.3,66.9,NA,NA
NA,2007-09-03T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",13.2,54.7,118,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",8.6,14.8,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",11.9,63,NA,NA
NA,2006-01-02T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",17.5,56,337,NA
NA,2014-06-02T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,49,297,NA
NA,2012-01-02T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,82,162,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",17.1,30.2,NA,NA
NA,2008-05-02T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.1,68.8,328,NA
NA,2005-04-02T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.4,78.8,203,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.4,33,NA,NA
NA,1988-01-09T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.2,16,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,45,280,NA
NA,2014-11-02T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,246,NA
NA,2009-04-02T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.3,96.8,439,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.2,36,NA,NA
NA,2003-10-02T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,51,NA,NA
NA,1987-01-10T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,40.5,22.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.6,22.7,NA,NA
NA,2011-02-14T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,33,150,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.5,26.1,NA,NA
NA,2004-06-02T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,150,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.8,39.2,NA,NA
NA,2008-06-02T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",26.9,110.7,275,NA
NA,2006-02-02T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",22.2,65.9,366,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",17.9,65,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.2,29.1,NA,NA
NA,2012-02-02T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",14,93,247,NA
NA,1988-01-09T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10.4,11.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.1,38.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.5,33.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23,28.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.6,41.3,NA,NA
NA,2013-02-16T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,103,134,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.9,37.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",25.1,34.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11.9,37,NA,NA
NA,2005-05-02T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.8,62.9,175,NA
NA,2007-10-03T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",9.7,64.3,85,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,42,268,63
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",11.6,28.9,NA,NA
NA,2012-03-02T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,91,183,NA
NA,1988-03-09T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",3.2,28.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11.6,42.6,NA,NA
NA,2006-10-02T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",22.5,66.1,301,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",49.4,113,NA,NA
NA,2014-02-14T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,115,NA
NA,2013-02-19T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,115,159,NA
NA,2008-12-02T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",21.3,62.6,208,NA
NA,2005-08-02T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",13.5,51.7,120,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",8,26.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",3.4,17.2,NA,NA
NA,2009-05-02T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",10.5,103,312,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.5,42.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",24.3,30.6,NA,NA
NA,2003-02-14T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,42,217,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.2,30.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12.1,15.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.3,38.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.6,27.1,NA,NA
NA,2011-02-18T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,34,251,NA
NA,2004-11-02T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,96.33,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",30.3,52.3,NA,NA
NA,2007-03-13T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",9.7,59.9,97,NA
NA,1987-03-10T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,NA,12.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",5.6,31.6,NA,NA
NA,2005-09-02T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.1,61.6,220,NA
NA,2003-02-19T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9,38,71,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",28,46.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.3,38.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.8,10.9,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.3,43.7,NA,NA
NA,2011-02-23T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,291,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",19.7,39.5,NA,NA
NA,2013-02-20T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",2,111,167,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",26.7,48.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",15.3,36,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",12.4,29.7,NA,NA
NA,2012-02-14T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",14,84,90,NA
NA,1988-03-09T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",22.8,30.8,NA,NA
NA,2009-10-02T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",17,44.8,192,NA
NA,2007-03-14T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",8.8,43.7,146,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",10.2,36.8,NA,NA
NA,1987-03-10T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,27,20.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.6,37.5,NA,NA
NA,2004-02-16T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,101,NA
NA,2008-02-13T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",18,80.5,216,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,40,210,107
NA,2014-02-19T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,49,263,NA
NA,2006-11-02T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",20,70.8,262,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11.9,45.1,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.7,36.6,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",12.3,50.8,NA,NA
NA,2013-02-21T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",8,110,154,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",21.6,29.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13.1,39.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",24.1,45.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",12.1,33,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.9,37,NA,NA
NA,2003-02-24T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",13,43,201,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12.8,37.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.3,21.9,NA,NA
NA,2005-02-18T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",18.7,42.6,144,NA
NA,1987-02-11T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Residential,10.5,14.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10,22.7,NA,NA
NA,2007-03-20T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",11.7,63.8,116,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,210,57
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",6.6,24.6,NA,NA
NA,2012-02-15T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",10,90,76,NA
NA,2009-11-02T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",16.8,46.2,171,NA
NA,2008-02-23T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",26.4,85.7,272,NA
NA,2014-02-24T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,49,197,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",3.4,11,NA,NA
NA,2006-02-17T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",12.6,34.1,202,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",25,21,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",14.6,46,NA,NA
NA,2011-01-03T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,33,156,NA
NA,2004-02-20T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,80,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.5,24.2,NA,NA
NA,1988-01-10T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.8,27.1,NA,NA
NA,2012-02-16T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",13,93,131,NA
NA,2003-02-27T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",12,44,177,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",14.6,22.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.2,37,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,39,199,44
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",22.6,31,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",18.8,26.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",5.5,18.2,NA,NA
NA,2004-03-03T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,112.67,NA
NA,2008-02-24T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",25.8,56.1,264,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",15.6,28.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",20.6,25.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",13.1,33.6,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.7,21.3,NA,NA
NA,2014-02-27T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,51,254,NA
NA,2013-02-25T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,89,145,NA
NA,2007-03-21T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",11.2,57.7,146,NA
NA,1988-03-10T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",1.4,13.4,NA,NA
NA,2009-02-21T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",10.3,48.2,229,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.1,39.1,NA,NA
NA,2005-02-19T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",10.4,26.9,98,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11.4,15.9,NA,NA
NA,2006-02-18T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",18.7,30.3,207,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",10.7,22.3,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",9.5,19,NA,NA
NA,2011-07-03T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,48,114,NA
NA,1987-03-11T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Residential,3.9,14.3,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,38,199,47
NA,2012-02-25T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",10,48,108,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",6.3,19.7,NA,NA
NA,2006-02-24T05:38:18Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",14.6,27.6,303,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.7,39,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",6.9,14.6,NA,NA
NA,2014-05-03T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,44,135,NA
NA,2005-02-25T05:23:43Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",15.1,23.1,142,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",27.6,36.8,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",12.9,30.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",10.7,24.9,NA,NA
NA,2008-02-25T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",13.8,50.4,213,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",17.1,31.3,NA,NA
NA,2004-06-03T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,184,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",19.4,25,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.7,47.9,NA,NA
NA,1987-01-11T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,7.5,8.2,NA,NA
NA,2007-03-26T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",9,21.1,142,NA
NA,2013-02-26T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",7,80,140,NA
NA,2003-05-03T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",11,47,91,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14.6,25.5,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",16,20.5,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",38.5,55.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",44.2,43.9,NA,NA
NA,2011-10-03T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,35,147,NA
NA,2009-02-22T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",4.7,49.2,239,NA
NA,1988-03-10T11:42:27Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",18.8,17.5,NA,NA
NA,2014-10-03T12:46:36Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,129,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",5.5,20.5,NA,NA
NA,2004-08-03T06:50:12Z,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",NA,NA,156.67,NA
NA,2007-03-27T11:46:45Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",10.5,23,174,NA
NA,2003-10-03T06:08:54Z,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",14,43,102,NA
NA,1987-02-11T11:51:24Z,Delhi,Delhi,NA,"Central Pollution Control Board",Industrial,46.2,33.4,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",16.7,27.1,NA,NA
NA,2011-03-15T06:50:53Z,Delhi,Delhi,"Pritampura, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,41,127,NA
NA,2008-02-26T06:50:32Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",22.1,73.9,304,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",15.4,34,NA,NA
NA,NA,Delhi,Delhi,"Nizamuddin, Delhi","Central Pollution Control Board","Residential, Rural and other Areas",4,50,187,75
NA,2013-02-27T02:31:56Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",3,94,158,NA
NA,NA,Delhi,Delhi,NA,NA,"Residential, Rural and other Areas",12,46.4,NA,NA
NA,NA,Delhi,Delhi,NA,NA,"Industrial Area",12.5,48.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",23.4,26.2,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Residential, Rural and other Areas",16.1,37.7,NA,NA
NA,NA,Delhi,Delhi,NA,"Central Pollution Control Board","Industrial Area",10.1,20.8,NA,NA
NA,2012-02-26T11:38:19Z,Delhi,Delhi,"N.Y. SCHOOL, Sarojini Nagar, Delhi","National Environmental Engineering Research Institute","Residential, Rural and other Areas",11,64,147,NA
NA,2009-02-23T11:51:42Z,Delhi,Delhi,"Mayapuri Indl. Area",NA,"Industrial Areas",12.2,89.8,354,NA
