YEAR,MONTH,DISTRICT_NAME,RAINFALL
2018,6,Rohtak,2.5606755862633386
2018,7,Rohtak,3.7635503913606367
2018,8,Rohtak,1.0354052861371348
2018,9,Rohtak,3.9462772041559218
2018,10,Rohtak,0.0
2018,11,Rohtak,0.07990327129761378
2018,12,Rohtak,0.021031042741191004
2018,1,Shamli,0.024483880689067226
2018,2,Shamli,0.06465484095471245
2018,3,Shamli,0.15325641824353126
2018,4,Shamli,0.4483862822254499
2018,5,Shamli,0.6837468416460099
2018,6,Shamli,1.5838939189910888
2018,7,Shamli,11.133358418460816
2018,8,Shamli,4.965243270320277
2018,9,Shamli,5.547495695948601
2018,10,Shamli,0.1694939213414346
2018,11,Shamli,0.09662178158760071
2018,12,Shamli,0.0
2018,1,Sonipat,0.23587450417139197
2018,2,Sonipat,0.13816753597486586
2018,3,Sonipat,0.010555017699477493
2018,4,Sonipat,0.26380865905019973
2018,5,Sonipat,0.6864133119903584
2018,6,Sonipat,1.2705710394514933
2018,7,Sonipat,5.893415486780546
2018,8,Sonipat,3.752210197589731
2018,9,Sonipat,4.989337642987569
2018,10,Sonipat,0.0
2018,11,Sonipat,0.03916753431161245
2018,12,Sonipat,0.03149426624339114
2018,1,South East Delhi,0.06172635478358116
2018,2,South East Delhi,0.0
2018,3,South East Delhi,0.0
2018,4,South East Delhi,0.17016615271568297
2018,5,South East Delhi,0.24209903036394426
2018,6,South East Delhi,1.7563320855299631
2018,7,South East Delhi,7.093808189515145
2018,8,South East Delhi,1.381688428501929
2018,9,South East Delhi,4.15617267092069
2018,10,South East Delhi,0.0
2018,11,South East Delhi,0.17430435021718343
2018,12,South East Delhi,0.0
2019,1,Alwar,0.6003445222081126
2019,2,Alwar,0.08180471220794987
2019,3,Alwar,0.1349565878441806
2019,4,Alwar,0.8802754900285177
2019,5,Alwar,0.3113567844582593
2019,6,Alwar,0.7807534415452253
2019,7,Alwar,4.923436093611927
2019,8,Alwar,4.290393910409393
2019,9,Alwar,1.5908736446074079
2019,10,Alwar,0.749780266927684
2019,11,Alwar,0.0666003704071045
2019,12,Alwar,0.1724448712877414
2019,1,Baghpat,0.8865226122640795
2019,2,Baghpat,1.3404976081635271
2019,3,Baghpat,0.12757397851636332
2019,4,Baghpat,0.05339696655670802
2019,5,Baghpat,0.220615514584126
2019,6,Baghpat,0.07935445606708527
2019,7,Baghpat,5.980002403499618
2019,8,Baghpat,5.137184062552068
2019,9,Baghpat,0.32485511923829713
2019,10,Baghpat,0.09928577946078393
2019,11,Baghpat,1.1734724203745523
2019,12,Baghpat,0.8463439287677887
2019,1,Bharatpur,0.49964969773446366
2019,2,Bharatpur,0.16816766826169832
2019,3,Bharatpur,0.1836887727822027
2019,4,Bharatpur,0.8096352523813645
2019,5,Bharatpur,0.27456861602202537
2019,6,Bharatpur,0.21871323784192404
2019,7,Bharatpur,3.3515057008593314
2019,8,Bharatpur,3.7675468203040863
2019,9,Bharatpur,1.8420925080776214
2019,10,Bharatpur,0.055058271654190555
2019,11,Bharatpur,0.06113361120224
2019,12,Bharatpur,0.11067816038285533
2019,1,Bulandshahr,0.48807282986179473
2019,2,Bulandshahr,0.7251772394049025
2019,3,Bulandshahr,0.270808280475678
2019,4,Bulandshahr,0.29115940398640106
2019,5,Bulandshahr,0.16212795855056855
2019,6,Bulandshahr,0.08025057282712723
2019,7,Bulandshahr,3.924765577159261
2019,8,Bulandshahr,3.9286120767074246
2019,9,Bulandshahr,2.4896020469152265
2019,10,Bulandshahr,0.012409006395647603
2019,11,Bulandshahr,0.2764588885837131
2019,12,Bulandshahr,1.2785873592540782
2019,1,Gautam Buddha Nagar,0.7892863365911668
2019,2,Gautam Buddha Nagar,1.7890466025897436
2019,3,Gautam Buddha Nagar,0.5818101975225634
2019,4,Gautam Buddha Nagar,0.0
2019,5,Gautam Buddha Nagar,0.9205560621715361
2019,6,Gautam Buddha Nagar,0.18820667266845703
2019,7,Gautam Buddha Nagar,3.858147128935783
2019,8,Gautam Buddha Nagar,4.8711013063307735
2019,9,Gautam Buddha Nagar,0.5267800092697144
