id,date,state_name,state_code,district_name,district_code,station_name,latitude,longitude,basin,sub_basin,source,currentlevel,level_diff
191501,2019-11-29,Uttar Pradesh,9,Gautam Buddha Nagar,144,Sector-92 Pz,28.52,77.39,Ganga,Yamuna Upper,CGWB,14.92,0.05
193655,2013-01-04,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,5.64,0.13
193656,2013-05-14,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,6.62,0.98
193657,2013-08-24,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,5.44,-1.18
193658,2014-01-04,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,5.04,-0.4
193659,2014-05-14,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,6.13,1.09
193660,2016-05-14,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,6.21,0.08
193661,2016-11-04,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,5.88,-0.33
193662,2017-01-04,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,6.19,0.31
193663,2017-05-14,Uttar Pradesh,9,Ghaziabad,145,Modi Nagar-Pz I,28.84722,77.575,Ganga,Upstream Of Gomti Confluece To Muzaffarnagar,CGWB,6.86,0.67
